2016/3/25 19:31:56 End
2016/3/25 19:32:22 Start
2016/3/25 19:32:22 Init Data
2016/3/25 19:32:22 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=True;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/3/25 19:32:22 synchronous start
2016/3/25 19:32:23 update hr_postion_level
2016/3/25 19:32:23 total: 1
2016/3/25 19:32:23 update hr_department
2016/3/25 19:32:23 total: 450
2016/3/25 19:32:27 update hr_employee
2016/3/25 19:32:27 total: 1
2016/3/25 19:32:27 synchronous end
2016/3/25 19:32:27 Init Timer
2016/3/25 19:32:27 End Init
2016/3/25 19:34:27 synchronous start
2016/3/25 19:34:27 update hr_postion_level
2016/3/25 19:34:27 total: 1
2016/3/25 19:34:27 update hr_department
2016/3/25 19:34:27 total: 450
2016/3/25 19:34:31 update hr_employee
2016/3/25 19:34:31 total: 1
2016/3/25 19:34:31 update sys_user
2016/3/25 19:34:31 total: 3
2016/3/25 19:34:31 synchronous end
2016/3/25 19:36:27 synchronous start
2016/3/25 19:36:27 update hr_postion_level
2016/3/25 19:36:27 total: 1
2016/3/25 19:36:27 update hr_department
2016/3/25 19:36:27 total: 450
2016/3/25 19:36:30 update hr_employee
2016/3/25 19:36:30 total: 1
2016/3/25 19:36:31 update sys_user
2016/3/25 19:36:31 total: 6
2016/3/25 19:36:31 synchronous end
2016/3/25 19:38:27 synchronous start
2016/3/25 19:38:27 update hr_postion_level
2016/3/25 19:38:27 total: 1
2016/3/25 19:38:27 update hr_department
2016/3/25 19:38:27 total: 450
2016/3/25 19:38:30 update hr_employee
2016/3/25 19:38:30 total: 1
2016/3/25 19:38:31 update sys_user
2016/3/25 19:38:31 total: 6
2016/3/25 19:38:31 synchronous end
2016/3/25 19:40:27 synchronous start
2016/3/25 19:40:27 update hr_postion_level
2016/3/25 19:40:27 total: 1
2016/3/25 19:40:27 update hr_department
2016/3/25 19:40:27 total: 450
2016/3/25 19:40:30 update hr_employee
2016/3/25 19:40:30 total: 1
2016/3/25 19:40:30 update sys_user
2016/3/25 19:40:30 total: 9
2016/3/25 19:40:31 synchronous end
2016/3/25 19:42:27 synchronous start
2016/3/25 19:42:27 update hr_postion_level
2016/3/25 19:42:27 total: 1
2016/3/25 19:42:27 update hr_department
2016/3/25 19:42:27 total: 450
2016/3/25 19:42:30 update hr_employee
2016/3/25 19:42:30 total: 1
2016/3/25 19:42:31 update sys_user
2016/3/25 19:42:31 total: 5
2016/3/25 19:42:31 synchronous end
2016/3/25 19:44:25 End
2016/3/25 19:45:40 Start
2016/3/25 19:45:40 Init Data
2016/3/25 19:45:40 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=True;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/3/25 19:45:40 synchronous start
2016/3/25 19:45:40 update hr_postion_level
2016/3/25 19:45:40 total: 1
2016/3/25 19:45:40 update hr_department
2016/3/25 19:45:40 total: 450
2016/3/25 19:45:44 update hr_employee
2016/3/25 19:45:44 total: 1
2016/3/25 19:45:44 update sys_user
2016/3/25 19:45:44 total: 2
2016/3/25 19:45:44 synchronous end
2016/3/25 19:45:44 Init Timer
2016/3/25 19:45:44 End Init
2016/3/25 19:46:44 synchronous start
2016/3/25 19:46:44 update hr_postion_level
2016/3/25 19:46:44 total: 1
2016/3/25 19:46:45 update hr_department
2016/3/25 19:46:45 total: 450
2016/3/25 19:46:48 update hr_employee
2016/3/25 19:46:48 total: 1
2016/3/25 19:46:48 synchronous end
2016/3/25 19:47:44 synchronous start
2016/3/25 19:47:44 update hr_postion_level
2016/3/25 19:47:44 total: 1
2016/3/25 19:47:45 update hr_department
2016/3/25 19:47:45 total: 450
2016/3/25 19:47:49 update hr_employee
2016/3/25 19:47:49 total: 1
2016/3/25 19:47:49 update sys_user
2016/3/25 19:47:49 total: 4
2016/3/25 19:47:49 synchronous end
2016/3/25 19:48:44 synchronous start
2016/3/25 19:48:44 update hr_postion_level
2016/3/25 19:48:44 total: 1
2016/3/25 19:48:45 update hr_department
2016/3/25 19:48:45 total: 450
2016/3/25 19:48:48 update hr_employee
2016/3/25 19:48:48 total: 1
2016/3/25 19:48:49 update sys_user
2016/3/25 19:48:49 total: 3
2016/3/25 19:48:49 synchronous end
2016/3/25 19:49:44 synchronous start
2016/3/25 19:49:45 update hr_postion_level
2016/3/25 19:49:45 total: 1
2016/3/25 19:49:45 update hr_department
2016/3/25 19:49:45 total: 450
2016/3/25 19:49:48 update hr_employee
2016/3/25 19:49:48 total: 1
2016/3/25 19:49:48 update sys_user
2016/3/25 19:49:48 total: 4
2016/3/25 19:49:48 synchronous end
2016/3/25 19:50:44 synchronous start
2016/3/25 19:50:45 update hr_postion_level
2016/3/25 19:50:45 total: 1
2016/3/25 19:50:45 update hr_department
2016/3/25 19:50:45 total: 450
2016/3/25 19:50:48 update hr_employee
2016/3/25 19:50:48 total: 1
2016/3/25 19:50:48 update sys_user
2016/3/25 19:50:48 total: 8
2016/3/25 19:50:49 synchronous end
2016/3/25 19:51:44 synchronous start
2016/3/25 19:51:45 update hr_postion_level
2016/3/25 19:51:45 total: 1
2016/3/25 19:51:45 update hr_department
2016/3/25 19:51:45 total: 450
2016/3/25 19:51:48 update hr_employee
2016/3/25 19:51:48 total: 1
2016/3/25 19:51:48 update sys_user
2016/3/25 19:51:48 total: 9
2016/3/25 19:51:48 synchronous end
2016/3/25 19:52:44 synchronous start
2016/3/25 19:52:45 update hr_postion_level
2016/3/25 19:52:45 total: 1
2016/3/25 19:52:45 update hr_department
2016/3/25 19:52:45 total: 450
2016/3/25 19:52:48 update hr_employee
2016/3/25 19:52:48 total: 1
2016/3/25 19:52:48 update sys_user
2016/3/25 19:52:48 total: 4
2016/3/25 19:52:48 synchronous end
2016/3/25 19:53:44 synchronous start
2016/3/25 19:53:45 update hr_postion_level
2016/3/25 19:53:45 total: 1
2016/3/25 19:53:45 update hr_department
2016/3/25 19:53:45 total: 450
2016/3/25 19:53:48 update hr_employee
2016/3/25 19:53:48 total: 1
2016/3/25 19:53:48 update sys_user
2016/3/25 19:53:48 total: 5
2016/3/25 19:53:48 synchronous end
2016/3/25 19:54:45 synchronous start
2016/3/25 19:54:45 update hr_postion_level
2016/3/25 19:54:45 total: 1
2016/3/25 19:54:45 update hr_department
2016/3/25 19:54:45 total: 450
2016/3/25 19:54:48 update hr_employee
2016/3/25 19:54:48 total: 1
2016/3/25 19:54:49 update sys_user
2016/3/25 19:54:49 total: 10
2016/3/25 19:54:49 synchronous end
2016/3/25 19:55:45 synchronous start
2016/3/25 19:55:45 update hr_postion_level
2016/3/25 19:55:45 total: 1
2016/3/25 19:55:45 update hr_department
2016/3/25 19:55:45 total: 450
2016/3/25 19:55:48 update hr_employee
2016/3/25 19:55:48 total: 1
2016/3/25 19:55:49 update sys_user
2016/3/25 19:55:49 total: 7
2016/3/25 19:55:49 synchronous end
2016/3/25 19:56:45 synchronous start
2016/3/25 19:56:45 update hr_postion_level
2016/3/25 19:56:45 total: 1
2016/3/25 19:56:45 update hr_department
2016/3/25 19:56:45 total: 450
2016/3/25 19:56:49 update hr_employee
2016/3/25 19:56:49 total: 1
2016/3/25 19:56:49 update sys_user
2016/3/25 19:56:49 total: 9
2016/3/25 19:56:50 synchronous end
2016/3/25 19:57:45 synchronous start
2016/3/25 19:57:45 update hr_postion_level
2016/3/25 19:57:45 total: 1
2016/3/25 19:57:45 update hr_department
2016/3/25 19:57:45 total: 450
2016/3/25 19:57:48 update hr_employee
2016/3/25 19:57:48 total: 1
2016/3/25 19:57:49 update sys_user
2016/3/25 19:57:49 total: 5
2016/3/25 19:57:49 synchronous end
2016/3/25 19:58:45 synchronous start
2016/3/25 19:58:45 update hr_postion_level
2016/3/25 19:58:45 total: 1
2016/3/25 19:58:45 update hr_department
2016/3/25 19:58:45 total: 450
2016/3/25 19:58:48 update hr_employee
2016/3/25 19:58:48 total: 1
2016/3/25 19:58:49 synchronous end
2016/3/25 19:59:45 synchronous start
2016/3/25 19:59:45 update hr_postion_level
2016/3/25 19:59:45 total: 1
2016/3/25 19:59:45 update hr_department
2016/3/25 19:59:45 total: 450
2016/3/25 19:59:48 update hr_employee
2016/3/25 19:59:48 total: 1
2016/3/25 19:59:49 update sys_user
2016/3/25 19:59:49 total: 3
2016/3/25 19:59:49 synchronous end
2016/3/25 20:00:45 synchronous start
2016/3/25 20:00:45 update hr_postion_level
2016/3/25 20:00:45 total: 1
2016/3/25 20:00:45 update hr_department
2016/3/25 20:00:45 total: 450
